registryId,legalUnderwriter,insurerGroup,brandOrProgram,distributionType,productScope,distinctRateSourceId,quoteUrl,publicPhoneRoute,licensedIntermediary,requirements,automationNotes,status,sourceUrl,lastVerifiedAt,evidenceArtifact,verifiedDuringHackathonWindow
aig-insurance-company-of-canada,AIG Insurance Company of Canada,AIG,AIG,broker,unknown,aig-insurance-company-of-canada,,,,licence;VIN;human,Brief flags specialty/commercial-leaning; validate Ontario standard PPA relevance before treating as a viable consumer route.,unresolved,,2026-08-09T18:26:27.165Z,,false
allstate-insurance-company-of-canada,Allstate Insurance Company of Canada,Allstate,Allstate,agent,standard_PPA,allstate-insurance-company-of-canada,https://www.allstate.ca,,,licence;VIN;human,,unresolved,https://www.allstate.ca,2026-08-09T18:26:27.165Z,,false
esurance-insurance-company-of-canada,Esurance Insurance Company of Canada,Allstate,Esurance,broker,unknown,esurance-insurance-company-of-canada,,,,licence;VIN;human,Brief explicitly flags for validation — confirm whether this legacy Allstate-family entity is still active for new Ontario PPA business.,unresolved,,2026-08-09T18:26:27.165Z,,false
pafco-insurance-company,Pafco Insurance Company,Allstate,Pafco,broker,nonstandard_PPA,pafco-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
pembridge-insurance-company,Pembridge Insurance Company,Allstate,Pembridge,broker,nonstandard_PPA,pembridge-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
aviva-general-insurance-company,Aviva General Insurance Company,Aviva,Aviva Direct,direct,standard_PPA,aviva-general-insurance-company,https://www.aviva.ca,,,licence;VIN,,unresolved,https://www.aviva.ca,2026-08-09T18:26:27.165Z,,false
aviva-insurance-company-of-canada,Aviva Insurance Company of Canada,Aviva,Aviva (broker channel),broker,standard_PPA,aviva-insurance-company-of-canada,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
scottish-and-york-insurance-company,Scottish & York Insurance Company,Aviva,Aviva legacy (Scottish & York / S&Y),broker,unknown,scottish-and-york-insurance-company,,,,licence;VIN;human,"Legacy Aviva-family legal entity; confirm current active status. Merge: Appendix A's Aviva row lists 'S&Y' and 'Scottish & York' as two separate tokens — S&Y is the standard market abbreviation for Scottish & York Insurance Company, the same real-world legal entity, not a second distinct rate source. Collapsed to one registry row; see mergedAliases.",unresolved,,2026-08-09T18:26:27.165Z,,false
traders-general-insurance-company,Traders General Insurance Company,Aviva,Aviva (Traders General),broker,standard_PPA,traders-general-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
unica-insurance-inc,Unica Insurance Inc.,Beneva,Unica (Beneva),broker,standard_PPA,unica-insurance-inc,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
caa-insurance-company,CAA Insurance Company,CAA,CAA,affinity,standard_PPA,caa-insurance-company,https://www.caa.ca,,,licence;VIN;membership,CAA membership relationship required; direct/broker hybrid per brief.,unresolved,https://www.caa.ca,2026-08-09T18:26:27.165Z,,false
echelon-insurance,Echelon Insurance,CAA,Echelon,broker,nonstandard_PPA,echelon-insurance,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
chubb-insurance-company-of-canada,Chubb Insurance Company of Canada,Chubb,Chubb,broker,high_net_worth,chubb-insurance-company-of-canada,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
coseco-insurance-company,COSECO Insurance Company,Co-operators,Co-operators (COSECO),agent,standard_PPA,coseco-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
cumis-general-insurance-company,CUMIS General Insurance Company,Co-operators,Co-operators (CUMIS),affinity,standard_PPA,cumis-general-insurance-company,,,,licence;VIN;membership,Historically credit-union/affinity distributed; confirm current membership gating.,unresolved,,2026-08-09T18:26:27.165Z,,false
co-operators-general-insurance-company,Co-operators General Insurance Company,Co-operators,Co-operators,agent,standard_PPA,co-operators-general-insurance-company,https://www.cooperators.ca,,,licence;VIN;human,,unresolved,https://www.cooperators.ca,2026-08-09T18:26:27.165Z,,false
the-sovereign-general-insurance-company,The Sovereign General Insurance Company,Co-operators,Co-operators (Sovereign General),broker,unknown,the-sovereign-general-insurance-company,,,,licence;VIN;human,Brief flags affinity/specialty validation needed.,unresolved,,2026-08-09T18:26:27.165Z,,false
the-commonwell-mutual-insurance-group,The Commonwell Mutual Insurance Group,Commonwell,Commonwell,mutual,standard_PPA,the-commonwell-mutual-insurance-group,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
continental-casualty-company,Continental Casualty Company,Continental (CNA),CNA,broker,unknown,continental-casualty-company,,,,licence;VIN;human,Specialty/commercial-leaning (CNA); validate Ontario standard PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
definity-insurance-company,Definity Insurance Company,Definity,Definity / Economical,broker,standard_PPA,definity-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
sonnet-insurance-company,Sonnet Insurance Company,Definity,Sonnet,direct,standard_PPA,sonnet-insurance-company,https://www.sonnet.ca,,,licence;VIN,"Playwright probe priority 1 (§3a.5) — fully online, direct, instant-quote design.",unresolved,https://www.sonnet.ca,2026-08-09T18:26:27.165Z,,false
certas-direct-insurance-company,Certas Direct Insurance Company,Desjardins,Desjardins Insurance (direct),direct,standard_PPA,certas-direct-insurance-company,https://www.desjardinsinsurance.com,,,licence;VIN,,unresolved,https://www.desjardinsinsurance.com,2026-08-09T18:26:27.165Z,,false
certas-home-and-auto-insurance-company,Certas Home and Auto Insurance Company,Desjardins,Desjardins Insurance (agent),agent,standard_PPA,certas-home-and-auto-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
the-personal-insurance-company,The Personal Insurance Company,Desjardins,The Personal,affinity,standard_PPA,the-personal-insurance-company,https://www.thepersonal.com,,,licence;VIN;membership,,unresolved,https://www.thepersonal.com,2026-08-09T18:26:27.165Z,,false
economical-mutual-insurance-company,Economical Mutual Insurance Company,Economical,Economical,broker,standard_PPA,economical-mutual-insurance-company,,,,licence;VIN;human,Confirm current entity/program mapping vs. Definity post-demutualization.,unresolved,,2026-08-09T18:26:27.165Z,,false
facility-association,Facility Association,Facility Association,Facility Association,residual,standard_PPA,facility-association,,,,licence;VIN;human,Residual market pool; accessible only via a licensed broker/agent placing a risk the standard market has declined. Not directly quotable by an applicant — structurally manual_handoff.,unresolved,,2026-08-09T18:26:27.165Z,,false
farm-mutual-reinsurance-plan,Farm Mutual Reinsurance Plan,Ontario Mutuals (FMRe),Ontario Mutuals locator,mutual,unknown,farm-mutual-reinsurance-plan,,,,licence;VIN;human,"Acts as a locator across individual Ontario farm mutuals, not an underwriter itself; route to the specific mutual once identified.",unresolved,,2026-08-09T18:26:27.165Z,,false
gore-mutual-insurance-company,Gore Mutual Insurance Company,Gore,Gore Mutual,broker,standard_PPA,gore-mutual-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
hartford-fire-insurance-company,Hartford Fire Insurance Company,Hartford,The Hartford,broker,unknown,hartford-fire-insurance-company,,,,licence;VIN;human,Specialty/commercial-leaning; validate Ontario standard PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
heartland-farm-mutual-inc,Heartland Farm Mutual Inc.,Heartland,Heartland Farm Mutual,mutual,standard_PPA,heartland-farm-mutual-inc,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
belair-insurance-company-inc,Belair Insurance Company Inc.,Intact,belairdirect,direct,standard_PPA,belair-insurance-company-inc,https://www.belairdirect.com,,,licence;VIN,"Playwright probe priority 3 (§3a.5) — major direct writer, online journey.",unresolved,https://www.belairdirect.com,2026-08-09T18:26:27.165Z,,false
the-guarantee-company-of-north-america,The Guarantee Company of North America,Intact,Intact (The Guarantee),broker,unknown,the-guarantee-company-of-north-america,,,,licence;VIN;human,Validate current Ontario PPA relevance vs. specialty/surety focus.,unresolved,,2026-08-09T18:26:27.165Z,,false
intact-insurance-company,Intact Insurance Company,Intact,Intact,broker,standard_PPA,intact-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
jevco-insurance-company,Jevco Insurance Company,Intact,Intact (Jevco),broker,nonstandard_PPA,jevco-insurance-company,,,,licence;VIN;human,,unresolved,,2026-08-09T18:26:27.165Z,,false
novex-insurance-company,Novex Insurance Company,Intact,Intact (Novex),broker,standard_PPA,novex-insurance-company,,,,licence;VIN;human,Validate legacy/affinity program status.,unresolved,,2026-08-09T18:26:27.165Z,,false
royal-and-sun-alliance-insurance-company-of-canada,Royal & Sun Alliance Insurance Company of Canada,Intact,Intact (RSA legacy),broker,unknown,royal-and-sun-alliance-insurance-company-of-canada,,,,licence;VIN;human,Legacy RSA entity absorbed into Intact; validate active status.,unresolved,,2026-08-09T18:26:27.165Z,,false
unifund-assurance-company,Unifund Assurance Company,Intact,Intact (Unifund),broker,standard_PPA,unifund-assurance-company,,,,licence;VIN;human,Historically affinity-distributed (CAA-adjacent); validate current channel.,unresolved,,2026-08-09T18:26:27.165Z,,false
western-assurance-company,Western Assurance Company,Intact,Intact (Western Assurance),broker,unknown,western-assurance-company,,,,licence;VIN;human,Validate active Ontario PPA status.,unresolved,,2026-08-09T18:26:27.165Z,,false
liberty-mutual-insurance-company,Liberty Mutual Insurance Company,Liberty,Liberty Mutual,broker,unknown,liberty-mutual-insurance-company,,,,licence;VIN;human,Specialty/commercial-leaning; validate Ontario standard PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
federated-insurance-company-of-canada,Federated Insurance Company of Canada,Northbridge,Federated Insurance,broker,unknown,federated-insurance-company-of-canada,,,,licence;VIN;human,Primarily commercial specialty; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
northbridge-general-insurance-corporation,Northbridge General Insurance Corporation,Northbridge,Northbridge,broker,unknown,northbridge-general-insurance-corporation,,,,licence;VIN;human,Primarily commercial; validate PPA relevance.,unresolved,,2026-08-09T18:26:27.165Z,,false
